ORGANIZATION,PROGRAM,DESCRIPTION,YTD AMOUNT,QTD AMOUNT                                                                                                                                                                                                    
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3721367.45,1833177.85
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,25858.72,16226.24
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,32594.72,17242.76
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5508.31,2095.21
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,96420.88,59548.5
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,211307.83,164164.03
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,20088.85,873
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,4113146.76,2093327.59
2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OFFICE TOTALS:,4113146.76,2093327.59
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,62548.75,23308.75
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,62548.75,23308.75
2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,OFFICE TOTALS:,62548.75,23308.75
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1576578.21,822377.71
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,1371.54,1088.41
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,43501.44,24221.85
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,13.3,13.3
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4479.19,960.31
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,5357.38,3384.17
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,36672.26,30149.26
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1667973.32,882195.01
2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,1667973.32,882195.01
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25984.39,25284.39
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25984.39,25284.39
2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,25984.39,25284.39
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3439315.86,1742608.24
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,49740.84,27035.78
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,16199.36,-10127.79
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,240,-428.82
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,5154.72,658.53
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,153029.98,91977.27
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,3504,-21456
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,3667184.76,1830267.21
2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OFFICE TOTALS:,3667184.76,1830267.21
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,62590.24,30483.57
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,62590.24,30483.57
2024 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,OFFICE TOTALS:,62590.24,30483.57
