zip,estimate,donations,total,donations_per_1000
20815,31080,77637,9090681.019999975,2497.9729729729734
20817,37795,65357,5935171.610000005,1729.2499007805263
20854,49320,55150,4750407.0800000075,1118.2076236820762
20814,30234,54366,3840965.980000051,1798.1742409208177
20816,17390,35071,3206491.790000002,2016.7337550316274
20910,45072,60712,2979373.470000009,1347.0003549875755
20852,48379,48307,1984718.029999996,998.51175096632835
20912,25823,38778,1936275.090000004,1501.6845447856563
21401,40442,36733,1649639.400000007,908.2884130359528
20850,51072,45289,1625183.4800000193,886.7677005012531
20904,56532,41324,1477418.6700000064,730.9842213259747
21210,15005,25454,1443604.7700000436,1696.3678773742085
20895,19273,26497,1347975.3600000064,1374.8248845535204
21044,45100,44569,1337506.6200000034,988.2261640798226
21403,32207,25115,1333098.2500000054,779.799422485795
20878,65954,41096,1313016.679999994,623.1009491463747
20901,37207,42989,1309525.8700000062,1155.4008654285483
21212,33861,25556,1146181.100000002,754.7325832078202
20906,71560,54095,1138991.140000007,755.9390721073224
20902,53308,29875,1073108.0000000023,560.4224506640655
21042,42528,28455,1050627.5999999992,669.0886004514672
21218,46548,31378,1018091.8099999998,674.0998539142391
20721,30785,27247,1016134.5099999992,885.0738996264414
21045,40980,30660,803755.2300000013,748.1698389458272
20774,51010,28133,790564.2600000018,551.5193099392276
20772,52596,24555,701566.209999997,466.8605977640885
21208,37319,21511,700900.8699999987,576.4087998070688
21043,47309,20844,686790.2499999983,440.5926990636031
21117,58516,23052,657696.399999998,393.94353681044504
21209,29960,26774,644100.539999995,893.6582109479306
21093,38961,22218,633944.1899999967,570.2625702625702
21701,40787,24907,631639.1800000038,610.6602593963762
21601,23589,15791,628699.1599999968,669.4221883081098
21230,32883,13266,623503.7299999964,403.4303439467202
20744,55820,31497,615052.9699999988,564.2601218201362
21228,50268,26381,597323.7399999986,524.8070342961724
20782,34625,12863,595571.0799999984,371.4945848375451
20853,31794,19911,556389.1599999968,626.2502358935649
20720,26253,17274,545108.1899999978,657.9819449205805
20874,61922,22381,527915.7199999968,361.4385840250638
21204,20188,12273,511605.4999999996,607.9354071725778
20905,17451,12733,509001.05000000366,729.6430004011232
20832,25488,15646,505974.4099999999,613.857501569366
21146,29710,13148,487095.9399999995,442.5445977785257
20770,28458,17073,470197.8199999965,599.9367488931057
21012,23144,11344,448162.7999999995,490.14863463532663
21409,20619,11407,445531.4299999982,553.2276056064794
21113,36495,16279,444059.96000000014,446.06110426085763
20855,16558,10620,442482.6699999997,641.3818093972702
21211,15935,13357,433904.2699999998,838.2177596485724
21702,46596,17174,430403.05999999936,368.57240964889695
21620,13636,7513,422426.1699999993,550.9680258140218
21286,21142,12808,415242.91999999946,605.8083435814966
20723,35845,12363,402577.18000000034,344.9016599246757
20707,36352,16759,392772.42999999854,461.0200264084507
21202,20115,6148,382084.8500000009,305.6425553069849
21224,44915,12042,379731.1799999997,268.10642324390517
21037,21060,9471,376584.1499999987,449.7150997150997
21030,25133,9939,375350.1199999992,395.4561731587952
20785,41281,11413,374647.23999999976,276.47101572151837
20877,38524,15286,371444.01,396.7916104246703
21201,18305,6643,366729.6200000009,362.90630975143404
20886,34692,16207,362243.20999999874,467.168223221492
20783,50387,5720,339753.4999999998,113.52134479131522
20818,1787,3976,339569.6300000002,2224.958030218243
21217,31634,6787,338081.31999999844,214.54763861667826
21029,13817,5070,334097.21000000037,366.93927770138237
21136,35038,11483,323548.850000002,327.7298932587476
20740,36583,12587,317914.8899999996,344.06691632725585
20735,39399,15308,316990.6299999999,388.5377801467042
20715,26244,17641,314771.77000000153,672.1917390641671
20706,43797,12313,314519.8699999994,281.1379774870425
21046,15894,11234,309389.19999999896,706.8076003523342
21231,14780,7981,281612.8999999996,539.9864682002707
20716,22340,9976,277360.8199999999,446.5532676812892
21811,24456,9781,276675.0200000005,399.9427543343147
20705,28660,8949,263127.96999999945,312.2470341939986
20882,13962,8651,261341.96000000025,619.6103710070191
21784,37219,9655,257843.1300000003,259.41051613423247
20903,25324,6587,250580.09999999992,260.1089875217185
21234,66095,12937,250143.7600000003,195.73341402526668
20603,32495,12854,248108.6100000006,395.5685490075396
21114,25126,8848,236144.47000000044,352.1451882512139
21076,22041,6352,235382.90000000017,288.1901910076675
21032,8040,5033,231805.08,625.9950248756219
20781,13299,5853,231033.8899999996,440.1082788179562
20745,29355,12754,230824.93999999977,434.4745358541986
20748,40763,12089,230580.97000000085,296.5679660476412
21075,36176,8984,224807.7100000003,248.34144183989383
21144,37041,11718,222529.8500000001,316.3521503199158
21122,61444,9609,221055.7499999993,156.3863029750667
21108,18046,6603,220072.7800000001,365.89826000221655
20879,27489,10054,219295.58000000264,365.7462985194078
21014,37097,9571,216782.57000000024,257.99929913470095
20759,6125,4003,216717.4500000003,653.5510204081633
20876,26572,9660,214333.43000000037,363.54056902002105
21704,18473,5672,213888.01000000007,307.0427109835977
21078,19820,7808,212588.47000000055,393.9455095862765
21771,31653,8933,209328.0900000004,282.21653555745115
20871,27420,8598,204083.8700000006,313.56673960612693
21703,39606,8726,203219.95000000024,220.32015351209412
21157,39816,8691,202460.4400000002,218.2790837854129
21035,8360,6200,200449.85000000024,741.6267942583731
21207,51765,13152,198563.10000000015,254.07128368588815
21015,30485,7969,198034.8099999996,261.407249466951
20601,27328,6976,190404.72999999975,255.26932084309135
20769,6812,7457,183612.53000000017,1094.6858485026426
20607,12080,6889,181393.81000000043,570.2814569536424
21742,34549,9377,180980.25000000055,271.4116182812816
21804,38722,7964,177007.2200000002,205.6711946696968
