County,PARTY,Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,Eligible
"",CODE,,,,,,,,,,,,,,,,,,,Actives
Allegany,DEM,257,2.38%,233,2.16%,138,1.28%,112,1.04%,194,1.79%,213,1.97%,238,2.20%,233,2.16%,"1,618",14.96%,"10,812"
"",GRN,0,0.00%,0,0.00%,1,1.79%,0,0.00%,0,0.00%,1,1.79%,0,0.00%,0,0.00%,2,3.57%,56
"",LIB,4,1.46%,2,0.73%,1,0.36%,0,0.00%,5,1.82%,5,1.82%,3,1.09%,6,2.19%,26,9.49%,274
"",NLM,0,0.00%,1,1.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,3.17%,3,4.76%,63
"",OTH,9,1.82%,8,1.62%,5,1.01%,3,0.61%,7,1.41%,11,2.22%,9,1.82%,12,2.42%,64,12.93%,495
"",REP,778,3.38%,717,3.12%,345,1.50%,302,1.31%,694,3.02%,570,2.48%,578,2.51%,598,2.60%,"4,582",19.91%,"23,016"
"",UNA,132,1.51%,114,1.31%,61,0.70%,53,0.61%,120,1.37%,118,1.35%,133,1.52%,181,2.07%,912,10.45%,"8,730"
"",TOTAL,"1,180",2.72%,"1,075",2.47%,551,1.27%,470,1.08%,"1,020",2.35%,918,2.11%,961,2.21%,"1,032",2.38%,"7,207",16.59%,"43,446"
Anne Arundel,DEM,"5,958",3.45%,"5,578",3.23%,"3,480",2.02%,"3,083",1.79%,"5,435",3.15%,"5,410",3.13%,"6,008",3.48%,"6,924",4.01%,"41,876",24.25%,"172,652"
"",GRN,2,0.43%,7,1.51%,5,1.08%,3,0.65%,6,1.29%,8,1.72%,5,1.08%,3,0.65%,39,8.39%,465
"",LIB,53,2.13%,46,1.85%,36,1.45%,29,1.16%,43,1.73%,68,2.73%,67,2.69%,76,3.05%,418,16.78%,"2,491"
"",NLM,13,1.86%,12,1.72%,7,1.00%,3,0.43%,8,1.14%,6,0.86%,21,3.00%,26,3.72%,96,13.73%,699
"",OTH,98,2.66%,54,1.47%,29,0.79%,36,0.98%,78,2.12%,93,2.53%,91,2.47%,113,3.07%,592,16.10%,"3,678"
"",REP,"6,511",5.04%,"5,621",4.35%,"3,058",2.37%,"2,796",2.17%,"5,355",4.15%,"5,532",4.29%,"5,458",4.23%,"5,749",4.45%,"40,080",31.05%,"129,077"
"",UNA,"2,298",2.22%,"2,396",2.32%,"1,554",1.50%,"1,490",1.44%,"2,381",2.30%,"2,674",2.58%,"3,084",2.98%,"3,574",3.45%,"19,451",18.80%,"103,458"
"",TOTAL,"14,933",3.62%,"13,714",3.32%,"8,169",1.98%,"7,440",1.80%,"13,306",3.23%,"13,791",3.34%,"14,734",3.57%,"16,465",3.99%,"102,552",24.86%,"412,520"
Baltimore City,DEM,"6,538",2.19%,"5,350",1.79%,"3,274",1.10%,"2,955",0.99%,"5,797",1.94%,"5,875",1.97%,"6,599",2.21%,"8,485",2.84%,"44,873",15.01%,"298,865"
"",GRN,2,0.27%,8,1.09%,3,0.41%,1,0.14%,0,0.00%,6,0.82%,10,1.36%,6,0.82%,36,4.89%,736
"",LIB,13,1.04%,12,0.96%,9,0.72%,5,0.40%,4,0.32%,12,0.96%,17,1.36%,19,1.52%,91,7.26%,"1,254"
"",NLM,4,0.57%,4,0.57%,2,0.29%,2,0.29%,5,0.72%,6,0.86%,7,1.00%,20,2.87%,50,7.16%,698
"",OTH,34,0.68%,31,0.62%,27,0.54%,21,0.42%,36,0.72%,44,0.88%,51,1.02%,70,1.39%,314,6.25%,"5,020"
"",REP,428,1.47%,328,1.12%,196,0.67%,216,0.74%,381,1.30%,431,1.48%,507,1.74%,551,1.89%,"3,038",10.40%,"29,211"
"",UNA,533,0.84%,485,0.76%,344,0.54%,319,0.50%,606,0.95%,681,1.07%,899,1.41%,"1,266",1.99%,"5,133",8.06%,"63,722"
"",TOTAL,"7,552",1.89%,"6,218",1.56%,"3,855",0.96%,"3,519",0.88%,"6,829",1.71%,"7,055",1.77%,"8,090",2.03%,"10,417",2.61%,"53,535",13.40%,"399,506"
Baltimore County,DEM,"9,898",3.23%,"9,043",2.95%,"5,854",1.91%,"5,543",1.81%,"8,573",2.79%,"8,989",2.93%,"9,795",3.19%,"11,524",3.76%,"69,219",22.56%,"306,847"
"",GRN,7,0.98%,8,1.13%,6,0.84%,6,0.84%,3,0.42%,10,1.41%,9,1.27%,13,1.83%,62,8.72%,711
"",LIB,42,1.56%,47,1.74%,39,1.44%,34,1.26%,51,1.89%,52,1.93%,50,1.85%,89,3.30%,404,14.97%,"2,699"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Baltimore County,NLM,7,0.81%,5,0.58%,5,0.58%,5,0.58%,12,1.39%,9,1.04%,20,2.31%,17,1.97%,80,9.26%,864
"",OTH,166,2.41%,134,1.94%,81,1.18%,77,1.12%,142,2.06%,147,2.13%,154,2.23%,185,2.68%,"1,086",15.76%,"6,892"
"",REP,"5,735",4.12%,"5,316",3.82%,"3,188",2.29%,"3,244",2.33%,"5,288",3.80%,"5,250",3.77%,"5,307",3.81%,"5,254",3.77%,"38,582",27.70%,"139,293"
"",UNA,"1,923",1.63%,"2,050",1.74%,"1,533",1.30%,"1,550",1.31%,"2,213",1.87%,"2,440",2.07%,"2,852",2.42%,"3,526",2.99%,"18,087",15.32%,"118,059"
"",TOTAL,"17,778",3.09%,"16,603",2.89%,"10,706",1.86%,"10,459",1.82%,"16,282",2.83%,"16,897",2.94%,"18,187",3.16%,"20,608",3.58%,"127,520",22.16%,"575,365"
Calvert,DEM,"1,213",5.16%,982,4.18%,554,2.36%,514,2.19%,837,3.56%,739,3.15%,924,3.93%,"1,018",4.33%,"6,781",28.86%,"23,494"
"",GRN,1,1.56%,0,0.00%,0,0.00%,0,0.00%,1,1.56%,0,0.00%,1,1.56%,0,0.00%,3,4.69%,64
"",LIB,16,3.54%,13,2.88%,9,1.99%,6,1.33%,13,2.88%,23,5.09%,21,4.65%,16,3.54%,117,25.88%,452
"",NLM,2,2.11%,0,0.00%,1,1.05%,4,4.21%,2,2.11%,0,0.00%,5,5.26%,2,2.11%,16,16.84%,95
"",OTH,31,4.92%,21,3.33%,19,3.02%,9,1.43%,16,2.54%,16,2.54%,19,3.02%,25,3.97%,156,24.76%,630
"",REP,"2,538",8.94%,"1,988",7.00%,871,3.07%,731,2.57%,"1,523",5.36%,"1,401",4.93%,"1,498",5.28%,"1,509",5.31%,"12,059",42.47%,"28,397"
"",UNA,614,3.78%,580,3.57%,344,2.12%,262,1.61%,517,3.19%,567,3.49%,630,3.88%,694,4.28%,"4,208",25.93%,"16,229"
"",TOTAL,"4,415",6.37%,"3,584",5.17%,"1,798",2.59%,"1,526",2.20%,"2,909",4.19%,"2,746",3.96%,"3,098",4.47%,"3,264",4.71%,"23,340",33.65%,"69,361"
Caroline,DEM,248,4.18%,187,3.15%,79,1.33%,84,1.42%,159,2.68%,148,2.49%,188,3.17%,205,3.45%,"1,298",21.87%,"5,936"
"",GRN,1,3.85%,0,0.00%,0,0.00%,1,3.85%,0,0.00%,2,7.69%,0,0.00%,1,3.85%,5,19.23%,26
"",LIB,4,3.23%,4,3.23%,3,2.42%,2,1.61%,4,3.23%,1,0.81%,3,2.42%,1,0.81%,22,17.74%,124
"",NLM,0,0.00%,1,3.23%,0,0.00%,1,3.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,6.45%,31
"",OTH,3,1.35%,5,2.25%,2,0.90%,0,0.00%,5,2.25%,2,0.90%,3,1.35%,4,1.80%,24,10.81%,222
"",REP,611,5.64%,500,4.62%,211,1.95%,228,2.11%,469,4.33%,425,3.92%,542,5.00%,475,4.39%,"3,461",31.96%,"10,830"
"",UNA,116,2.42%,95,1.98%,57,1.19%,34,0.71%,91,1.90%,102,2.13%,127,2.65%,126,2.63%,748,15.61%,"4,791"
"",TOTAL,983,4.48%,792,3.61%,352,1.60%,350,1.59%,728,3.32%,680,3.10%,863,3.93%,812,3.70%,"5,560",25.32%,"21,960"
